stress_level,burnout_level
2.72,Low
83.36,High
7.1,Low
39.23,Medium
40.29,Medium
48.87,Medium
87.99,High
66.24,Medium
63.81,Medium
17.41,Low
70.77,High
54.73,Medium
51.77,Medium
73.45,
69.38,Medium
40.94,Medium
73.25,High
52.9,Medium
19.8,Low
74.08,High
53.9,Medium
46.34,Medium
42.73,Medium
64.49,Medium
52.77,Medium
79.79,High
73.25,High
45.56,Medium
39.27,Medium
58.48,Medium
48.49,Medium
43.49,Medium
35.82,Medium
86.57,High
73.21,High
80.94,High
100,High
21.86,Low
60.78,Medium
9.01,Low
59.34,Medium
26.29,Low
50.51,Medium
33.33,Low
74.85,High
47.99,Medium
61.24,Medium
55.36,Medium
33.94,Low
59.2,Medium
94.89,High
100,High
26.53,Low
9.7,Low
77.45,High
54.88,Medium
53.37,Medium
85.63,High
80.99,High
83.26,High
84.5,High
27.44,Low
7.52,Low
90.72,High
70.07,High
50.94,Medium
90.8,High
13.44,Low
85.95,High
54.5,Medium
59.48,Medium
67.02,Medium
42.03,Medium
43.91,Medium
83.98,High
100,High
47.05,Medium
78.58,High
46.75,Medium
38.93,Medium
85.48,High
51.69,Medium
43.02,Medium
21.31,Low
63.7,Medium
46.4,Medium
43.94,Medium
25.15,Low
52.86,Medium
78.77,High
77.17,High
44.71,Medium
19.67,Low
79.38,High
91.67,High
75.09,High
68.31,Medium
60.81,Medium
48.11,Medium
60.67,Medium
49.31,Medium
85.95,High
71.96,High
100,High
79.04,High
24.34,Low
75.41,High
76.94,High
39.48,Medium
15.37,Low
,High
80.57,High
60.12,Medium
52.76,Medium
30.83,Low
84.12,High
100,High
18.05,Low
58.84,Medium
55.98,Medium
71.14,High
97.1,High
52.09,Medium
63.18,Medium
72.62,High
54.32,Medium
81.15,High
51.36,Medium
98.49,High
76.54,High
95.77,High
46.85,Medium
59.67,Medium
0,Low
28.02,Low
66.34,Medium
73.63,
34.34,Low
70.29,High
32.59,Low
52.05,
50.08,
59.72,Medium
41.37,Medium
65.08,Medium
42.97,Medium
24.63,Low
12.04,Low
1.18,Low
26.09,Low
51.99,Medium
18.52,Low
38.47,Medium
64.93,Medium
12.98,Low
,High
31.68,Low
78.79,High
14.83,Low
99.44,High
34.63,Low
77.1,High
29.04,Low
21.02,Low
61.4,Medium
7.39,Low
80,High
73.41,High
11.92,Low
79.01,High
33.07,Low
82.91,High
37.03,Medium
77.33,High
60.46,Medium
55.98,Medium
86.66,High
22.34,
8.57,Low
,Medium
100,High
94.13,High
35.25,Medium
62.76,Medium
77.62,High
41.77,Medium
50.45,
44.91,Medium
72.8,High
87.13,High
49.86,Medium
0,Low
86.65,High
78.53,High
79.1,High
81.11,High
47.58,
12.93,Low
67.07,Medium
73.3,High
100,High
58.09,Medium
56.54,Medium
41.81,Medium
46.52,Medium
46.41,Medium
73.34,High
50.89,Medium
43.31,Medium
88.24,High
54.45,Medium
86.52,High
93.02,High
38.85,Medium
50.51,Medium
85.66,High
48.3,Medium
63.35,Medium
39.28,Medium
48.43,Medium
63.58,Medium
64.27,Medium
70.56,High
49.87,Medium
59.03,Medium
80.48,High
48.85,Medium
76.05,High
75.41,High
30.09,Low
66.48,Medium
52.32,Medium
24.85,Low
56.35,Medium
72.02,High
100,High
54.11,Medium
77.41,High
83.02,High
28.5,Low
61.61,Medium
38.45,Medium
53.82,Medium
64.99,Medium
42.11,Medium
43.06,Medium
25.79,Low
30.14,Low
56.48,Medium
29.72,Low
20.85,Low
72.37,High
33.39,Low
48.68,Medium
43.43,Medium
66.56,Medium
43.68,Medium
9.81,Low
58.11,Medium
56.25,Medium
43.88,Medium
33.6,Low
77.75,High
31.1,Low
45.75,Medium
61.58,Medium
75.04,High
55.15,Medium
17.17,Low
80.01,High
100,High
85.95,High
72.21,High
33.3,Low
60.45,Medium
49.12,Medium
53.39,Medium
46.99,Medium
34.45,Low
0,Low
38.54,Medium
64.86,Medium
60.63,Medium
100,High
37.16,Medium
76.97,High
98.34,High
100,High
70.3,High
56.37,Medium
20,Low
82.15,High
100,High
97.98,High
48.19,Medium
77.69,High
60.89,Medium
53.45,Medium
11.8,Low
55.77,Medium
47.32,Medium
50.61,Medium
0,Low
36.06,Medium
50.25,Medium
67.87,
64.24,Medium
62.28,Medium
32.88,Low
24.29,Low
43.92,Medium
68.85,Medium
94.02,High
79.14,High
13.38,Low
45.65,Medium
38.43,Medium
,Medium
39.56,Medium
85.33,
69.15,Medium
27.94,Low
42.01,Medium
58.5,Medium
85,
36.07,Medium
34.19,Low
67.41,Medium
42.99,Medium
63.17,Medium
52.86,Medium
6.54,Low
2.69,Low
86.92,High
94.56,High
29.73,Low
76.9,High
54.1,Medium
100,High
47.65,Medium
37.7,Medium
29.09,Low
56.1,Medium
54.55,
61.93,Medium
72.14,High
60.08,Medium
35.22,Medium
45.85,Medium
34.7,Low
28.86,Low
59.09,Medium
18.35,Low
18.31,Low
80.99,High
66.87,Medium
45.1,Medium
17.16,Low
38.51,Medium
21.93,Low
92.16,High
65.11,Medium
80.15,High
54.35,Medium
12.48,Low
21.27,Low
54.19,Medium
85.35,High
18.83,Low
70.86,High
100,High
,Medium
33.18,Low
53.54,Medium
26.56,Low
90.34,High
72.06,High
84.98,High
68.65,Medium
49.58,Medium
85.56,High
26.64,Low
47.91,Medium
41.07,Medium
45.64,Medium
73.87,High
20.78,Low
25.3,Low
29.03,Low
80.62,High
79.27,High
41.71,Medium
,Medium
53.88,Medium
22.1,Low
29.98,Low
64.3,Medium
43.65,Medium
54.23,Medium
36.19,Medium
53.79,Medium
37.36,Medium
59.59,Medium
42.1,Medium
67.59,
43.45,Medium
14.56,Low
68.64,Medium
44.89,Medium
24.06,Low
34.69,Low
85.65,High
43.45,Medium
60.43,Medium
84.62,High
59.59,Medium
82.94,High
47.64,Medium
58.72,Medium
61.49,Medium
46.79,Medium
98.66,High
13.06,Low
53.61,Medium
46.39,Medium
27.24,Low
75.74,High
60.27,Medium
63.52,Medium
62.67,Medium
89.07,High
83.69,High
47.83,Medium
10.2,Low
65.51,Medium
63.26,Medium
78.11,High
30.56,Low
87.42,High
94.79,High
48,Medium
71.27,High
70.6,High
72.74,High
49.86,Medium
31.24,Low
52.94,Medium
100,High
37.26,Medium
51.3,Medium
64.48,Medium
31.65,Low
64.43,Medium
90.84,High
100,High
22.55,Low
57.87,Medium
65.51,Medium
84.57,High
98.54,High
19.78,Low
70.34,High
73.62,High
73.24,High
49.85,Medium
20.15,Low
60.3,Medium
53.16,Medium
34.26,Low
41.84,Medium
85.76,High
53.34,Medium
76.21,High
84.1,High
47.38,Medium
24.29,Low
100,High
41.61,Medium
27.47,Low
55.21,Medium
77.06,High
32.44,Low
52.71,Medium
26.58,Low
71.72,High
52.39,Medium
58.93,Medium
56.46,Medium
69.49,Medium
39.83,Medium
44.85,Medium
27.32,Low
62.43,Medium
30.81,Low
51.98,Medium
64.73,Medium
56.29,Medium
42.31,Medium
52.32,Medium
81.09,High
76.45,High
23.54,Low
70.6,High
60.57,Medium
52.1,Medium
50.39,Medium
58.8,Medium
56.83,Medium
71.5,High
36.9,Medium
61.42,Medium
79.3,High
36.39,Medium
44.83,Medium
79.87,High
49.75,Medium
65.8,Medium
56.69,Medium
44.15,Medium
40.05,Medium
27.83,Low
71.43,High
53.62,Medium
54.83,Medium
94.33,High
77.98,High
72.33,High
65.71,Medium
42.94,Medium
17.54,Low
66.89,Medium
71.05,High
68.72,Medium
53.77,Medium
58.15,Medium
50.81,Medium
92.84,High
66.24,Medium
49.91,Medium
60.35,Medium
84.29,High
39.06,Medium
35.14,Medium
42.3,Medium
46.4,Medium
0,Low
7.46,Low
44.2,Medium
54.72,Medium
19.86,Low
49.5,Medium
49.11,Medium
74.31,High
65.23,Medium
32.95,Low
69.49,
48.53,Medium
76.82,High
56.83,Medium
0.62,Low
29.12,Low
22.23,Low
48.7,Medium
12.17,Low
52.66,Medium
84.09,High
75.54,High
44.1,Medium
51.93,Medium
25,Low
72.61,High
86.12,High
86.53,High
100,High
38.26,Medium
60.42,Medium
50.91,Medium
72.58,High
82.11,High
34.48,Low
42.22,Medium
65.6,
,Low
52.47,Medium
20.24,Low
63.76,Medium
52.1,Medium
70.78,High
47.42,Medium
94.38,High
88.52,High
82.3,High
80.83,High
64.9,Medium
77.47,High
77.39,High
64.86,Medium
39.66,Medium
47.61,Medium
83.06,High
39.31,Medium
42.63,Medium
71.21,High
59.96,Medium
64.29,Medium
17.6,Low
55.47,Medium
38.9,Medium
73.44,High
81.91,High
51.13,Medium
33.95,Low
32.22,Low
82.95,High
43.89,Medium
28.53,Low
81.26,High
17.68,Low
58.04,Medium
,Low
58.5,Medium
78.16,High
83.1,High
51.43,Medium
26.74,Low
48.46,Medium
75.43,High
64.01,Medium
35.28,Medium
63.66,Medium
14.66,Low
57.75,Medium
43.42,Medium
,Medium
28.75,Low
10.82,Low
76.85,High
48.18,Medium
30.93,Low
21.6,Low
0,Low
70.96,High
71.13,High
54.73,Medium
39.95,Medium
76.74,High
0,Low
42.97,Medium
68.82,Medium
53.47,Medium
68.23,Medium
84.13,High
56.58,Medium
87.16,High
63.89,Medium
72.58,High
26.97,Low
38.78,Medium
51.71,Medium
66.06,Medium
40.66,Medium
20.09,Low
77.03,High
14.8,Low
30.24,Low
55.4,Medium
7.4,Low
75.65,High
70.14,High
72.48,High
46.94,Medium
48.76,Medium
63.76,Medium
18,Low
,Medium
60.44,Medium
28.94,Low
62.99,Medium
76.67,High
100,High
51.63,Medium
40.45,Medium
97.61,High
73.72,High
92.74,High
39.91,Medium
56.2,Medium
62.63,Medium
34.58,Low
66.64,Medium
63.68,Medium
13.3,Low
46.48,Medium
53.06,Medium
100,High
27.41,Low
17.84,Low
41.72,
73.12,High
23.2,Low
6.68,Low
89.84,High
64.78,Medium
56.26,Medium
,Medium
60.98,Medium
68.71,Medium
85.74,High
56.61,Medium
37.36,Medium
,Medium
13.97,Low
100,
69.41,Medium
26.76,Low
52.64,Medium
54.64,Medium
96.14,High
44.43,Medium
76.24,High
93.86,High
24.41,Low
100,High
84.33,High
55.04,Medium
65.08,Medium
75.25,High
39.1,Medium
35.87,Medium
33.51,Low
59.77,Medium
64.05,Medium
24.64,Low
83.96,High
43.07,Medium
43.66,Medium
5.97,
80.51,High
27.19,Low
22.08,Low
33.35,
82.39,High
53.12,Medium
12.49,Low
68.16,Medium
77.26,High
25.43,Low
65.53,Medium
30.57,Low
46.4,Medium
34.64,Low
44.34,Medium
58.51,Medium
85.27,High
68.77,Medium
43.71,Medium
76.22,High
12.51,Low
100,High
82.06,
66.24,Medium
39.59,Medium
90.35,High
36.83,Medium
34.35,Low
16.58,Low
56.7,Medium
65.8,Medium
62.7,Medium
31.7,Low
53.53,Medium
57.1,Medium
37.54,Medium
41.15,Medium
18.25,Low
37.79,Medium
89.29,High
70.85,High
69.79,Medium
76.75,High
,Medium
40.89,
9.32,Low
84.65,High
60.37,Medium
89.06,High
29.72,Low
22.37,Low
39.57,Medium
27.73,
100,High
33.82,Low
75.88,High
54.43,Medium
90.38,High
26.68,Low
28.43,Low
41.04,Medium
83.85,High
75.92,High
43.45,Medium
60.71,Medium
23.11,Low
15.43,Low
75.02,High
7.06,Low
32.92,Low
27.69,Low
33.63,Low
57.31,Medium
,Low
,Low
75.22,High
87.84,High
51.62,Medium
100,High
7.71,Low
51.14,Medium
64.39,Medium
0,Low
87.4,High
45.38,Medium
70.13,High
46.18,Medium
53.77,Medium
56.32,Medium
76.91,High
32.59,Low
56.13,Medium
67.81,Medium
60.36,Medium
80.31,High
69.35,Medium
46.85,Medium
66.18,Medium
100,High
86.82,High
34.44,Low
100,High
82.43,High
29.89,Low
61.2,Medium
,Low
41.73,Medium
28.04,Low
15.69,Low
48.15,Medium
72.3,High
34.26,Low
62.91,Medium
41.11,Medium
14.37,Low
18.8,Low
52.96,Medium
36.69,Medium
70.28,High
90.3,High
75.8,High
83.36,High
43.5,Medium
42.29,Medium
14.83,Low
89.47,High
36.58,Medium
61.59,Medium
57,Medium
42.56,Medium
39.07,Medium
55.73,Medium
62.56,Medium
60.08,Medium
17.58,Low
13.64,
70.43,High
38.15,Medium
47.58,Medium
61.38,Medium
68.92,Medium
37.02,Medium
61.94,Medium
73.32,High
23.13,Low
21.96,Low
58.45,Medium
78.48,High
42.03,Medium
82.21,High
0,Low
64.56,Medium
52.12,Medium
53.39,Medium
91.79,High
12.62,Low
52.28,Medium
52.3,Medium
40.09,Medium
100,High
36.19,Medium
44.42,Medium
48.59,Medium
,Medium
34.52,Low
25.33,Low
33.27,Low
35.24,Medium
37.7,Medium
63.57,Medium
59.54,Medium
86.57,High
44.85,Medium
81.25,High
58.2,Medium
28.45,Low
17.43,Low
47.56,Medium
80.31,High
17.55,Low
46.71,Medium
77.95,High
98.9,High
58,Medium
58.51,Medium
73.29,High
57.43,Medium
42.47,Medium
76.64,High
90.65,High
46.56,Medium
82.53,High
50.51,Medium
8.61,Low
49.06,Medium
79.92,High
94.65,High
32.36,Low
34.33,Low
63.18,Medium
67.75,Medium
38.4,Medium
65.43,
56.44,Medium
48.56,Medium
39.57,Medium
36.56,Medium
85.81,High
3.78,Low
15.44,Low
48.88,Medium
66.61,Medium
35.05,Medium
91.72,High
33.49,Low
60.32,Medium
43.92,Medium
88.91,High
58.17,Medium
45.71,Medium
81.43,High
44.32,Medium
75.24,High
0,Low
66.16,Medium
56.59,Medium
63.7,Medium
28.58,Low
73.32,High
16.23,Low
41.77,Medium
33.86,Low
24.69,Low
47.48,Medium
44.13,Medium
98.35,High
58.26,Medium
36.56,Medium
17.15,Low
57.49,
32.35,Low
61.88,Medium
42.32,Medium
86.93,High
39.24,Medium
70.8,High
23.88,Low
49.89,Medium
79.12,High
23.83,Low
64.76,Medium
66.09,Medium
87.41,High
34.48,Low
32.07,Low
60.05,Medium
54.36,Medium
77.39,High
0,Low
71.01,High
20.95,Low
98.16,High
46.38,Medium
51.36,Medium
72.39,High
68.87,Medium
69.6,Medium
46.99,Medium
55.61,Medium
67.04,Medium
21.36,Low
67,Medium
73.96,High
53.29,Medium
57.23,Medium
61.25,Medium
27.72,Low
35.67,Medium
31.57,Low
50.33,Medium
20.38,Low
81.57,High
82.58,High
43.68,Medium
46.36,Medium
38.52,Medium
0,Low
71.5,High
73.25,
29.54,Low
26.8,Low
53.14,Medium
0,Low
50.91,Medium
67.61,
70.82,High
46.71,Medium
59.41,Medium
72.2,High
100,High
53.61,Medium
77.5,High
72.8,High
45.62,Medium
75.15,High
34.98,Low
79,High
41.1,Medium
26.38,Low
69.57,
29.32,
41.68,Medium
34.08,Low
49.99,Medium
88.24,
77.86,High
38.89,Medium
76.55,High
0,Low
33.94,Low
83.51,High
11.4,Low
76.46,High
58.4,Medium
61.61,Medium
29.37,Low
35.82,Medium
30.84,Low
66.31,Medium
64.32,Medium
40.99,Medium
52.49,Medium
52.14,Medium
4.22,Low
36.42,Medium
25.64,Low
65.97,Medium
38.93,Medium
36.06,Medium
80.05,High
35.91,Medium
94.03,High
53.34,Medium
90.84,High
79.42,High
69.7,Medium
63.73,Medium
0,Low
52.98,Medium
77.18,High
52.76,Medium
64.6,
71.2,High
52.27,Medium
66.2,Medium
44.69,Medium
66.33,Medium
46.68,Medium
82.01,High
15.25,Low
37.43,Medium
52.97,Medium
45.25,Medium
87.81,High
32.25,Low
66.42,Medium
54.82,Medium
45.67,Medium
78.82,High
51.23,Medium
67.76,Medium
46.48,
36.89,Medium
50.51,Medium
33.48,Low
29.59,Low
77.22,High
41.82,Medium
82.37,High
21.13,
59.56,Medium
54.92,Medium
0,Low
60.67,Medium
32.99,Low
16.83,Low
18.49,Low
39.79,Medium
61.22,Medium
41.72,Medium
37.18,Medium
97.68,High
98.81,High
8.38,Low
72.03,High
59.25,Medium
36.43,Medium
81.24,High
62.76,Medium
27,Low
22.13,Low
27.36,Low
57.12,Medium
,Medium
45.6,Medium
25.8,Low
40.41,Medium
26.68,Low
37.29,Medium
58.26,Medium
75.04,High
,Low
54.78,Medium
40.98,Medium
59.03,Medium
64.06,Medium
15.87,Low
6,Low
75.82,High
87.97,High
100,High
43.9,Medium
64.19,Medium
77.08,High
51.45,Medium
69.32,Medium
57.29,Medium
15.17,Low
21.52,Low
22.2,Low
34.76,Low
72.04,High
37.14,Medium
76.49,High
55.91,
83.49,High
0,Low
66.34,Medium
44.08,Medium
33.58,Low
19.57,Low
42.7,Medium
17.18,Low
65.09,Medium
58.01,Medium
74.41,High
13.98,Low
25.97,Low
91.06,High
50.46,Medium
28.88,Low
85.07,High
44.44,Medium
24.08,Low
52.68,Medium
81.69,High
44.89,Medium
,Medium
74.76,High
43.08,Medium
57.79,Medium
63.32,Medium
45.58,Medium
26.74,Low
58.1,Medium
82.07,High
45.48,Medium
75.36,High
87.38,High
57.6,Medium
91.43,High
57.66,Medium
39.96,Medium
28.86,Low
78.76,High
90.13,High
26.22,Low
85.01,High
47.9,Medium
67.77,Medium
60.92,Medium
82.74,High
78.36,High
19.28,Low
31.45,Low
66.73,Medium
42.47,Medium
48.03,Medium
47.98,Medium
53.46,Medium
72.44,High
76.02,High
35.53,Medium
33.66,Low
20.56,Low
67.13,Medium
0,Low
46.72,Medium
52.48,Medium
55.75,Medium
42.72,Medium
80.06,High
66.6,Medium
19.92,Low
27.96,Low
83.86,High
64.23,Medium
40.3,Medium
72.4,High
66.58,Medium
37.01,Medium
35.58,Medium
63.75,Medium
4.05,Low
79.87,High
38.71,Medium
49.87,Medium
70.31,High
24.38,Low
52.58,Medium
53.1,
22.22,Low
99.05,High
76.13,High
54.78,Medium
58.27,Medium
29.91,Low
46.72,Medium
45.94,Medium
56.03,Medium
36.59,Medium
54.02,Medium
77.98,High
45.88,Medium
31.44,Low
14.19,Low
52.93,Medium
68.27,Medium
47.58,Medium
10.38,Low
31.7,Low
62.55,Medium
63.58,Medium
36.16,Medium
59.28,Medium
51.19,Medium
93.14,High
29.56,Low
77.85,High
67.92,Medium
93.76,High
69.94,Medium
70.06,High
84.09,High
42.65,Medium
33.21,Low
0,Low
66.26,Medium
43.28,Medium
18.32,Low
25.03,Low
73.39,High
29.36,Low
95.64,High
,Medium
69.08,Medium
100,High
73.94,High
58.38,Medium
82.89,High
61.48,Medium
65,Medium
31.51,Low
100,High
82.18,High
65.55,Medium
64.31,Medium
68.16,Medium
97.65,High
43.79,Medium
47.13,Medium
,High
28.93,Low
30.95,Low
46.43,Medium
80.37,High
74.84,High
64.14,Medium
43.21,Medium
49.32,Medium
56.15,Medium
88.19,High
53.04,Medium
41.93,Medium
34.4,Low
56.82,Medium
43.55,
44.12,Medium
52.43,Medium
24.98,Low
54.22,Medium
59.95,Medium
38.95,Medium
75.84,High
,Medium
55.6,Medium
22.68,Low
22.43,Low
72.74,High
92.1,High
,Low
59.16,Medium
53.62,Medium
36.8,Medium
60.95,Medium
48.84,Medium
63.01,Medium
11.8,Low
95.54,High
46.94,Medium
55.47,Medium
52.29,Medium
25.16,Low
37.39,Medium
88.65,High
42.15,
55.41,Medium
34.12,Low
45.81,Medium
49.74,Medium
0,Low
36.85,Medium
90.68,High
47.09,Medium
1.49,Low
26.93,Low
41.14,Medium
34.22,Low
64.11,Medium
71.49,High
12.41,Low
31.55,Low
49.77,Medium
45.89,Medium
27.19,Low
53.79,Medium
50.18,Medium
56.34,Medium
41.42,Medium
48.58,Medium
84.99,High
78.53,High
29.91,Low
46.49,Medium
77.69,High
,Low
86.6,High
51.21,Medium
43.4,Medium
87.63,High
23.59,Low
100,High
49.41,Medium
57.67,Medium
54.9,Medium
46.28,Medium
63.91,Medium
19.43,Low
51.53,Medium
75.69,High
16.95,Low
64.12,Medium
71.65,High
63.91,Medium
25.28,Low
54.94,Medium
68.15,Medium
41.88,Medium
61.69,Medium
90.29,High
38.59,Medium
77.68,High
52.15,Medium
74.5,High
83.16,High
35.87,Medium
89.02,High
62.09,Medium
54.88,Medium
96.53,High
63.63,Medium
82.84,High
36.2,Medium
37.02,Medium
38.14,Medium
0,Low
69.55,Medium
83.6,High
82,High
17.62,Low
81.89,High
90.6,High
89.39,High
100,High
51.87,Medium
13.54,Low
63.66,Medium
35.96,Medium
28.86,Low
73.92,High
31.91,Low
74.5,High
84.83,High
99.56,High
59.36,Medium
75.24,High
57.11,Medium
36.63,Medium
47.43,Medium
18.13,Low
20.7,Low
55.43,Medium
100,High
88.22,High
47.34,Medium
77.22,High
52.6,Medium
83.68,High
82.75,High
30.78,Low
57.06,Medium
48.69,Medium
66.85,Medium
52.29,Medium
20.44,Low
46.28,Medium
65.51,Medium
47.82,Medium
32.23,Low
24.44,Low
80.53,High
55.17,Medium
25.93,Low
51.13,Medium
100,
75.4,High
66.09,Medium
36.45,Medium
65.85,Medium
41.14,Medium
68.62,Medium
58.27,Medium
22.28,Low
83.81,High
82.74,High
68.77,Medium
19.71,Low
76.87,High
79.86,High
61.38,Medium
74.95,High
45.52,Medium
65.63,Medium
47.82,
33.22,Low
84.29,High
77.3,High
8.81,Low
16.21,Low
88.81,High
84.45,High
58.13,Medium
28.88,Low
13.32,Low
47.03,Medium
28.22,Low
18.8,Low
22.68,Low
5.82,Low
57.17,Medium
50.43,Medium
49.48,Medium
69.83,Medium
40.77,Medium
77.43,High
62.03,Medium
84.82,High
32.77,Low
65.2,Medium
82.02,High
38.08,Medium
57.26,Medium
90.28,High
79.56,High
27.91,Low
49.99,Medium
83.22,High
32.71,Low
22.19,Low
36.59,Medium
59.11,Medium
62,Medium
29.07,Low
48.47,Medium
65.51,
54.47,Medium
63.24,Medium
0,Low
93.18,High
56.73,Medium
47.49,Medium
53.26,Medium
49.72,Medium
74.39,High
41.91,Medium
81.67,High
80.74,High
24.27,Low
31.74,Low
41.95,Medium
31.07,Low
40.95,
55.12,Medium
55.26,Medium
25.16,Low
30.46,Low
64.45,Medium
22.93,Low
37.92,Medium
70.66,High
42.27,Medium
36.62,Medium
33.06,Low
83.3,High
83.17,High
57.49,Medium
53.94,Medium
23.64,Low
25.28,Low
59.98,Medium
23.16,Low
17.61,Low
41.77,Medium
66.41,Medium
43.21,Medium
46.11,Medium
27.69,Low
0,Low
42.19,Medium
100,High
61.88,Medium
84.42,
75.72,High
48.99,Medium
53.44,Medium
52.19,Medium
67.99,Medium
58.56,Medium
97.2,High
42.37,Medium
58.92,Medium
19.29,Low
64.58,Medium
31.94,Low
50.88,Medium
48.79,Medium
29.05,Low
53.12,Medium
73.4,High
67.57,Medium
56.73,Medium
6,Low
70.15,High
52.2,Medium
52.52,Medium
51.52,Medium
51.06,Medium
25.11,Low
21.98,Low
53.38,Medium
3.74,Low
76.38,High
84.69,High
54.43,Medium
53.3,Medium
23.01,Low
73.97,High
52.92,Medium
67.77,Medium
86.67,High
54.63,Medium
94.53,High
50.02,Medium
29.97,Low
50.87,Medium
57.02,Medium
57.13,Medium
59.01,
100,High
37.35,Medium
60.37,Medium
100,High
76.12,High
41.27,Medium
47.16,Medium
73.23,High
29.06,Low
34.85,Low
75.13,High
13.95,Low
54.28,Medium
62.09,Medium
0,Low
63.82,Medium
55.77,Medium
0.11,Low
11.77,Low
15.67,Low
18.96,Low
58.01,Medium
86.07,High
54.71,Medium
60.26,Medium
86.26,High
32.8,Low
22.68,Low
71.68,High
57.04,Medium
17.98,Low
75.11,High
52.34,Medium
72.75,High
52.61,Medium
82.86,High
,Low
93.78,High
36.99,Medium
31.49,Low
55.17,Medium
51.37,Medium
93.75,High
82.73,High
38.53,Medium
12.16,Low
81.13,High
51.49,Medium
63.7,Medium
6.33,Low
85.79,High
61.36,Medium
85.9,High
75.52,High
67.94,Medium
28.99,Low
65.34,Medium
38.23,Medium
57.46,Medium
100,High
29.8,Low
74.97,High
12.17,Low
90.49,High
53.88,Medium
91.35,High
38.59,Medium
83.59,High
73.15,High
56.78,Medium
75.39,High
26.12,Low
62.38,Medium
100,High
53.28,Medium
37.63,Medium
72.39,High
23.11,Low
41.48,Medium
68.88,Medium
58.22,Medium
79.39,High
57.17,Medium
46.74,Medium
36.98,Medium
48.68,Medium
36.02,Medium
68.75,Medium
23.68,Low
23.18,Low
44.55,Medium
57.92,Medium
75.81,High
53.66,Medium
43.8,Medium
100,High
10.93,Low
47.1,Medium
32.18,Low
19.46,Low
74.8,High
47.85,Medium
89.27,High
99.76,High
41.27,Medium
22.11,Low
34.21,Low
31.59,Low
6.12,Low
60.12,Medium
27.09,Low
65.77,Medium
53.09,Medium
52.62,Medium
90.67,High
77.58,High
67.53,Medium
41.54,Medium
51.93,Medium
79.83,High
55.49,Medium
36.17,Medium
,High
65.48,Medium
,Low
24.69,Low
71.94,High
88.87,High
28.18,Low
44.7,Medium
85.01,High
57.03,Medium
83.47,High
65.3,Medium
18.47,Low
92.95,High
6.21,Low
44.82,Medium
30.28,Low
95.68,High
27.53,Low
92.06,High
87.13,High
68.26,Medium
66.92,Medium
52.55,Medium
58.94,Medium
23.88,Low
0,Low
31.36,Low
13.01,Low
64.79,Medium
86.53,High
95.13,High
68.22,Medium
43.96,Medium
72.76,High
29.98,Low
82.36,High
41.26,Medium
60.23,Medium
18.37,Low
70.65,High
69.91,Medium
60.16,Medium
100,High
51.49,Medium
51.23,Medium
47.86,Medium
8.05,Low
52.72,Medium
34.68,Low
75.8,High
59.99,
76.57,High
75.84,High
86.66,High
45.79,Medium
69.79,Medium
27.46,Low
43.11,Medium
46.8,Medium
11.14,Low
50.62,Medium
74.17,High
73.91,High
50.43,Medium
62.14,Medium
42.67,Medium
36.83,Medium
46.1,Medium
51.69,Medium
,Medium
42.97,Medium
56.29,Medium
60.78,Medium
35.47,Medium
55.09,Medium
50.4,Medium
51.89,Medium
71.17,High
54.38,Medium
58.51,Medium
49.43,Medium
52.21,Medium
100,High
,Medium
80.3,High
62.01,Medium
31.79,Low
33.16,Low
24.29,Low
58.72,Medium
60.81,Medium
88.99,High
,Low
69.9,Medium
54.61,Medium
71.06,High
74.93,High
67.53,Medium
33.72,Low
16.45,Low
54.09,Medium
42.95,Medium
38.94,Medium
75.69,High
10.81,Low
85.22,High
58.02,Medium
30.65,Low
37.05,Medium
44.32,Medium
42.02,Medium
21.5,Low
57.5,Medium
10.64,Low
66.73,
78.2,High
52.22,Medium
84.8,High
64.55,Medium
61.38,Medium
76.54,High
68.58,Medium
,Low
57.86,Medium
0.42,Low
34.95,Low
59.55,Medium
70.45,High
5.37,Low
81.48,High
54.55,Medium
50.3,Medium
46.77,Medium
70.09,High
77.25,High
37.32,Medium
42.49,Medium
75.22,High
2.71,Low
55.8,Medium
34.61,Low
74.59,High
79.12,High
37.07,Medium
51.89,Medium
77.3,High
90.66,High
100,High
56.53,Medium
46.13,Medium
38.17,Medium
6.09,Low
32.25,Low
64.11,Medium
2.4,Low
44.89,Medium
,Low
39.28,Medium
64.6,Medium
60.33,Medium
17.88,Low
15.07,Low
38.26,Medium
23.76,Low
14.29,Low
97.43,High
63.37,Medium
40.73,Medium
56.77,Medium
99.1,High
50.19,Medium
49.63,Medium
42.3,Medium
17.41,Low
73.83,
54.67,Medium
46.83,Medium
23.48,Low
37.83,Medium
26.56,Low
45.17,Medium
74.94,High
31.71,Low
29.19,Low
26.72,Low
39.69,Medium
24.86,Low
50.26,Medium
29.98,Low
67.26,Medium
24.17,Low
18.99,Low
29.09,Low
44.19,Medium
48.19,Medium
66.75,Medium
13.25,Low
45.07,Medium
61.73,Medium
27.77,Low
,High
,High
33.93,Low
10.06,Low
85.57,High
44.89,Medium
,Medium
64.37,Medium
90.68,High
36.37,Medium
33.59,Low
49.54,Medium
44.74,Medium
22.78,Low
70.99,High
52.79,Medium
48.18,Medium
67.58,Medium
100,High
32.03,Low
39.2,Medium
60.45,Medium
94.03,High
53.59,Medium
6.62,Low
9.6,Low
38.53,Medium
20.14,Low
19.98,
69.25,Medium
